DEBUG: General     , 1677011399543> LoggerManager.init                  > Initializing...
LOG  : General     , 1677011399603> cachedir set to "C:\Users\Grencham\Zomboid"
LOG  : General     , 1677011399609> 21-02-2023 14:29:59
LOG  : General     , 1677011399609> cachedir is "C:\Users\Grencham\Zomboid"
LOG  : General     , 1677011399610> LogFileDir is "C:\Users\Grencham\Zomboid\Logs"
LOG  : General     , 1677011399610> ===== System specs =====
LOG  : General     , 1677011399612> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1677011399613> Processor: AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
LOG  : General     , 1677011399613> Processor cores: 16
LOG  : General     , 1677011399614> Available processors (cores): 16
LOG  : General     , 1677011399616> Memory free: 488.36362 MB
LOG  : General     , 1677011399616> Memory max: 1024.0 MB
LOG  : General     , 1677011399617> Memory  total available to JVM: 512.0 MB
LOG  : General     , 1677011399623> C:\, Total: 930.50287 GB, Free: 120.88814 GB
LOG  : General     , 1677011399623> D:\, Total: 931.5117 GB, Free: 811.236 GB
LOG  : General     , 1677011399624> E:\, Total: 931.5117 GB, Free: 862.24335 GB
LOG  : General     , 1677011399809> Mobo = [Product=B550 Phantom Gaming 4]
LOG  : General     , 1677011399998> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=3600,Name=AMD Ryzen 7 3700X 8-Core Processor]
LOG  : General     , 1677011400171> Graphics = [AdapterRAM=1073741824,DriverVersion=31.0.101.4091,Name=Intel(R) Arc(TM) A770 Graphics]
LOG  : General     , 1677011400353> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 colors]
LOG  : General     , 1677011400530> Sound = { [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=CORSAIR,Name=CORSAIR VOID PRO SURROUND USB Sound Adapter], [Manufacturer=Dev47Apps.com,Name=DroidCam Virtual Audio], [Manufacturer=Oculus,Name=Oculus Virtual Audio Device] }
LOG  : General     , 1677011400716> Memory RAM = { [Capacity=17179869184,Manufacturer=Unknown], [Capacity=17179869184,Manufacturer=Unknown] }
LOG  : General     , 1677011400716> ========================
LOG  : General     , 1677011400717> -- listing properties --
LOG  : General     , 1677011400717> java.specification.version=17
LOG  : General     , 1677011400717> sun.cpu.isalist=amd64
LOG  : General     , 1677011400718> sun.jnu.encoding=Cp1252
LOG  : General     , 1677011400718> java.class.path=.;commons-compress-1.18.jar;istack-co...
LOG  : General     , 1677011400718> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1677011400718> sun.arch.data.model=64
LOG  : General     , 1677011400719> user.variant=
LOG  : General     , 1677011400720> java.vendor.url=http://www.azul.com/
LOG  : General     , 1677011400721> user.timezone=America/Chicago
LOG  : General     , 1677011400721> zomboid.steam=1
LOG  : General     , 1677011400721> java.vm.specification.version=17
LOG  : General     , 1677011400721> os.name=Windows 10
LOG  : General     , 1677011400722> user.country=US
LOG  : General     , 1677011400722> sun.boot.library.path=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1677011400722> zomboid.znetlog=1
LOG  : General     , 1677011400722> jdk.debug=release
LOG  : General     , 1677011400723> sun.cpu.endian=little
LOG  : General     , 1677011400723> user.home=C:\Users\Grencham
LOG  : General     , 1677011400723> user.language=en
LOG  : General     , 1677011400723> java.specification.vendor=Oracle Corporation
LOG  : General     , 1677011400724> java.version.date=2021-10-19
LOG  : General     , 1677011400724> java.home=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1677011400724> file.separator=\
LOG  : General     , 1677011400724> java.vm.compressedOopsMode=32-bit
LOG  : General     , 1677011400725> line.separator=

LOG  : General     , 1677011400725> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1677011400725> java.specification.name=Java Platform API Specification
LOG  : General     , 1677011400725> java.awt.headless=true
LOG  : General     , 1677011400726> user.script=
LOG  : General     , 1677011400726> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1677011400726> java.runtime.version=17.0.1+12-LTS
LOG  : General     , 1677011400726> user.name=Grencham
LOG  : General     , 1677011400727> path.separator=;
LOG  : General     , 1677011400727> os.version=10.0
LOG  : General     , 1677011400727> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1677011400727> file.encoding=Cp1252
LOG  : General     , 1677011400728> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1677011400728> java.vendor.version=Zulu17.30+15-CA
LOG  : General     , 1677011400728> java.vendor.url.bug=http://www.azul.com/support/
LOG  : General     , 1677011400728> java.io.tmpdir=C:\Users\Grencham\AppData\Local\Temp\
LOG  : General     , 1677011400729> java.version=17.0.1
LOG  : General     , 1677011400729> user.dir=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1677011400729> os.arch=amd64
LOG  : General     , 1677011400729> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1677011400729> sun.os.patch.level=
LOG  : General     , 1677011400730> native.encoding=Cp1252
LOG  : General     , 1677011400730> java.library.path=win64/;.
LOG  : General     , 1677011400730> java.vm.info=mixed mode, sharing
LOG  : General     , 1677011400730> java.vendor=Azul Systems, Inc.
LOG  : General     , 1677011400731> java.vm.version=17.0.1+12-LTS
LOG  : General     , 1677011400731> sun.io.unicode.encoding=UnicodeLittle
LOG  : General     , 1677011400731> java.class.version=61.0
LOG  : General     , 1677011400731> -----
LOG  : General     , 1677011400732> version=41.78.16 demo=false
LOG  : General     , 1677011401058> LightingFPS set to 20
LOG  : General     , 1677011401059> [javafmodJNI] Init: Start
LOG  : General     , 1677011401060> [javafmodJNI] Init: WIN 64
LOG  : General     , 1677011401091> 1677011401087 fmod: Java loging: OK
LOG  : General     , 1677011401103> 1677011401103 fmod: FMOD::Studio::System::create() result: No errors.
LOG  : General     , 1677011401103> 1677011401103 fmod: FMOD::Studio::System::getCoreSystem() result: No errors.
LOG  : General     , 1677011401104> 1677011401104 fmod: FMOD_System_GetVersion() result: No errors.
LOG  : General     , 1677011401104> 1677011401104 fmod: fmodintegration built with version 20206, fmod shared library version 20206
LOG  : General     , 1677011401104> 1677011401104 fmod: System Create: OK
LOG  : General     , 1677011401105> 1677011401105 fmod: FMOD_System_SetSoftwareFormat() result: No errors.
LOG  : General     , 1677011401226> 1677011401226 fmod: FMOD::Studio::System::Initialize() result: No errors.
LOG  : General     , 1677011401227> 1677011401227 fmod: Creating DSP for capture sound
LOG  : General     , 1677011401227> 1677011401227 fmod: FMOD_System_CreateDSP() result: No errors.
LOG  : General     , 1677011401227> 1677011401227 fmod: FMOD_DSP_SetBypass() result: No errors.
LOG  : General     , 1677011401228> 1677011401228 fmod: FMOD_System_GetMasterChannelGroup() result: No errors.
LOG  : General     , 1677011401228> 1677011401228 fmod: FMOD_ChannelGroup_AddDSP() result: No errors.
LOG  : General     , 1677011401228> 1677011401228 fmod: FMOD_System_Set3DSettings() result: No errors.
LOG  : General     , 1677011401434> GraphicsCard: Intel Intel(R) Arc(TM) A770 Graphics
LOG  : General     , 1677011401434> OpenGL version: 4.6.0 - Build 31.0.101.4091
LOG  : General     , 1677011401436> Desktop resolution 1920x1080
LOG  : General     , 1677011401438> Initial resolution 1920x1017 fullScreen=false
LOG  : General     , 1677011401439> OpenGL 1.5 buffer objects supported
LOG  : General     , 1677011401440> VSync: ON
LOG  : General     , 1677011415327> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont_0.png
LOG  : General     , 1677011415332> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont2_0.png
WARN : General     , 1677011415343> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1677011415343> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1677011415344> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1677011415344> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1677011415346> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1677011415364> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1677011415484> Loading networking libraries...
LOG  : General     , 1677011415485> Loading steam_api64...
LOG  : General     , 1677011415486> Loading RakNet64...
LOG  : General     , 1677011415489> Loading ZNetJNI64...
LOG  : Network     , 1677011415611> [21-02-23 14:30:15.611] > ZNet: SetLogLevel 2
LOG  : Network     , 1677011415742> [21-02-23 14:30:15.742] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1677011415743> SteamUtils initialised successfully
LOG  : Mod         , 1677011417198> refusing to list examplemod
LOG  : Mod         , 1677011417696> loading 67commando
LOG  : Mod         , 1677011417737> mod "67commando" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1677011417739> mod "67commando" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1677011417739> mod "67commando" overrides media/lua/shared/translate/ko/ig_ui_ko.txt
LOG  : Mod         , 1677011417811> loading 82oshkoshM911
LOG  : Mod         , 1677011417840> mod "82oshkoshM911" overrides media/animsets/player-vehicle/actions/pvfix0_default-fallback.xml
LOG  : Mod         , 1677011417841> mod "82oshkoshM911" overrides media/animsets/player-vehicle/aim/pvfix0_aim_2handed.xml
LOG  : Mod         , 1677011417842> mod "82oshkoshM911" overrides media/animsets/player-vehicle/aim/pvfix0_aim_chainsaw.xml
LOG  : Mod         , 1677011417843> mod "82oshkoshM911" overrides media/animsets/player-vehicle/aim/pvfix0_aim_default.xml
LOG  : Mod         , 1677011417844> mod "82oshkoshM911" overrides media/animsets/player-vehicle/aim/pvfix0_aim_down.xml
